Date,AAPL_moving_avg,META_moving_avg,AMZN_moving_avg,GOOGL_moving_avg
09/23/2022,150.43,140.41,113.78,98.74
09/22/2022,151.585,141.615,115.545,99.44
09/21/2022,152.29666666666665,141.78333333333333,116.54333333333334,99.38666666666666
09/20/2022,153.4475,142.86,117.955,99.825
09/19/2022,153.654,143.892,119.296,100.474
09/16/2022,153.16166666666666,144.29166666666666,120.00999999999999,100.86166666666666
09/15/2022,153.04857142857142,145.04285714285714,120.9057142857143,101.1542857142857
09/14/2022,153.76285714285714,146.62285714285716,123.02714285714286,102.04857142857142
09/13/2022,153.92000000000002,148.0957142857143,124.38571428571427,102.64571428571428
09/12/2022,155.30714285714288,151.93,126.94428571428571,104.3
09/09/2022,155.3742857142857,155.22428571428574,128.52714285714285,105.65857142857143
09/08/2022,155.37000000000003,157.23,129.2642857142857,106.41714285714285
09/07/2022,156.12142857142857,159.24428571428572,130.10714285714286,107.36714285714287
09/06/2022,156.43,160.52857142857144,130.08285714285714,107.92428571428572
09/02/2022,156.48428571428573,161.79285714285714,129.92285714285714,108.33142857142857
09/01/2022,157.07285714285715,163.54,130.06571428571428,109.10571428571428
08/31/2022,156.18571428571428,162.67857142857142,128.68285714285713,108.72857142857143
08/30/2022,156.4057142857143,160.96571428571428,128.03428571428572,108.48428571428572
08/29/2022,157.3957142857143,160.55285714285714,128.03,108.63285714285715
08/26/2022,158.49,160.75142857142856,128.21142857142857,108.75999999999999
08/25/2022,160.70428571428573,162.21428571428572,129.80714285714285,110.1657142857143
08/24/2022,162.37857142857143,162.6342857142857,130.7057142857143,111.0
08/23/2022,163.70285714285714,162.02714285714288,131.53428571428572,111.58857142857143
08/22/2022,165.18142857142857,162.0442857142857,132.45571428571427,112.44857142857143
08/19/2022,166.98285714285717,163.58714285714288,133.81285714285715,113.63
08/18/2022,168.80714285714288,165.79999999999998,135.6,115.1657142857143
08/17/2022,170.3685714285714,167.66714285714286,137.22142857142856,116.48142857142857
08/16/2022,170.7971428571429,169.19428571428574,138.29285714285714,117.20285714285716
08/15/2022,171.6057142857143,171.71285714285713,139.63285714285715,118.40142857142857
08/12/2022,172.3014285714286,174.48285714285717,141.05142857142854,119.51857142857143
08/11/2022,172.43285714285713,176.54571428571427,142.11142857142858,120.17571428571429
08/10/2022,172.10714285714286,178.0285714285714,142.74857142857144,120.53142857142858
08/09/2022,170.78857142857143,177.15285714285716,142.11,120.02571428571427
08/08/2022,169.40571428571428,176.49571428571426,141.7257142857143,119.70428571428572
08/05/2022,168.30857142857144,174.73000000000002,141.15714285714284,119.1
08/04/2022,167.25428571428571,173.25571428571428,141.07,118.54428571428572
08/03/2022,166.40142857142857,171.58428571428573,140.49428571428572,118.03
08/02/2022,165.19,169.11285714285714,139.56857142857143,117.5
08/01/2022,164.08571428571426,166.48285714285717,138.5257142857143,116.80857142857143
07/29/2022,163.74142857142857,165.1357142857143,138.1142857142857,116.76428571428572
07/28/2022,162.66714285714284,163.77428571428572,135.66714285714286,116.32428571428571
07/27/2022,161.44428571428574,164.12714285714287,132.8342857142857,115.69428571428571
07/26/2022,159.41428571428568,162.49571428571429,128.8685714285714,113.81285714285714
07/25/2022,157.53142857142856,162.1885714285714,126.24285714285715,112.30285714285712
07/22/2022,156.68571428571428,163.4857142857143,124.56571428571428,111.27000000000001
07/21/2022,155.80571428571426,166.8057142857143,123.02857142857142,111.19571428571429
07/20/2022,154.45285714285714,170.23285714285717,121.28857142857143,110.85000000000001
07/19/2022,153.54571428571427,172.3842857142857,120.70714285714287,110.79142857142857
07/18/2022,152.15714285714284,172.04857142857145,119.67714285714285,110.21571428571428
07/15/2022,151.9528571428571,172.84142857142857,119.49714285714286,111.18142857142858
07/14/2022,151.31285714285715,171.61285714285714,117.99571428571427,111.59000000000002
07/13/2022,150.0842857142857,170.7871428571429,116.27857142857144,112.08285714285714
07/12/2022,148.72857142857143,167.94428571428574,114.07714285714285,112.03714285714285
07/11/2022,147.5614285714286,165.05714285714288,112.50285714285714,112.29142857142857
07/08/2022,146.99571428571429,164.35714285714286,112.12142857142858,113.08285714285715
07/07/2022,146.89285714285714,165.06571428571428,112.48857142857142,114.47571428571429
07/06/2022,145.85714285714286,165.79,112.60000000000001,114.8742857142857
07/05/2022,144.86999999999998,167.23857142857145,113.01,115.28714285714285
07/01/2022,143.93285714285713,166.74428571428572,112.89,114.91428571428573
06/30/2022,142.62714285714287,166.4557142857143,112.46000000000001,114.19142857142857
06/29/2022,141.82142857142856,166.60714285714286,112.05571428571429,113.62285714285714
06/28/2022,140.45,165.15,110.89285714285714,112.57428571428571
06/27/2022,139.78,164.7642857142857,110.44857142857143,112.15285714285713
06/24/2022,139.6,164.82,110.75285714285714,112.63857142857144
06/23/2022,139.13000000000002,163.47142857142856,110.60142857142857,112.49285714285713
06/22/2022,138.6185714285714,162.8742857142857,110.51428571428572,112.88571428571429
06/21/2022,138.49714285714285,162.27428571428572,110.86714285714287,113.25428571428571
06/17/2022,137.40142857142857,162.24571428571429,110.48142857142857,112.60285714285715
06/16/2022,136.34714285714284,162.27285714285716,109.94714285714285,111.74857142857142
06/15/2022,135.45714285714286,162.25285714285715,109.15428571428572,110.88142857142859
06/14/2022,134.18571428571428,161.3342857142857,107.13285714285715,109.27428571428572
06/13/2022,133.27285714285713,162.12142857142857,105.88,108.43857142857144
06/10/2022,133.52714285714288,164.9385714285714,105.98,108.39142857142858
06/09/2022,134.49428571428572,168.78857142857143,107.04714285714284,108.86285714285715
06/08/2022,136.83714285714285,173.48857142857145,109.18428571428572,110.29857142857144
06/07/2022,139.50142857142856,178.45714285714283,111.94714285714285,111.88714285714286
06/06/2022,141.03142857142856,182.0142857142857,114.39285714285714,112.89571428571428
06/03/2022,142.8342857142857,185.8785714285714,117.25571428571429,114.01285714285713
06/02/2022,145.59571428571428,190.82142857142858,120.37571428571428,115.61714285714285
06/01/2022,147.25,192.6885714285714,122.09428571428573,116.00714285714285
05/31/2022,148.1357142857143,194.06571428571428,122.67428571428572,115.85285714285715
05/27/2022,148.37571428571428,193.84999999999997,121.81285714285715,115.15714285714286
05/26/2022,147.67142857142858,193.2757142857143,120.11,113.82000000000001
05/25/2022,146.8685714285714,191.78714285714287,117.53714285714285,112.24714285714286
05/24/2022,146.15142857142857,190.43,114.92999999999999,111.02285714285715
05/23/2022,144.99428571428572,190.0542857142857,112.36571428571429,110.14714285714287
05/20/2022,143.40571428571428,190.75428571428571,110.35285714285713,109.4357142857143
05/19/2022,141.7642857142857,190.4185714285714,108.51142857142858,108.95285714285714
05/18/2022,140.50428571428571,190.00571428571428,107.36285714285715,108.89285714285714
05/17/2022,141.28428571428572,191.57571428571427,107.97571428571429,110.13285714285715
05/16/2022,142.00142857142856,193.89142857142858,108.55142857142857,111.36571428571428
05/13/2022,142.96571428571428,196.36857142857144,109.83142857142857,112.80571428571429
05/12/2022,142.88714285714286,195.6557142857143,109.74142857142856,112.99857142857142
05/11/2022,144.16,194.97000000000003,109.42428571428572,113.66857142857143
05/10/2022,146.61142857142858,195.8785714285714,109.64428571428572,114.24142857142856
05/09/2022,148.21714285714285,196.44571428571427,109.88428571428572,114.32857142857142
05/06/2022,149.3657142857143,196.60999999999999,109.79857142857144,114.22571428571428
05/05/2022,150.97,197.78714285714287,110.59857142857143,114.52142857142859
05/04/2022,153.67142857142858,201.32857142857142,112.43714285714285,115.40857142857143
05/03/2022,156.0885714285714,204.29857142857142,114.91142857142857,116.04999999999998
05/02/2022,157.72571428571428,207.49714285714285,117.64428571428572,116.47571428571429
04/29/2022,158.17428571428573,207.90000000000003,119.84714285714287,116.4357142857143
04/28/2022,159.82857142857142,209.26,124.96285714285715,117.2942857142857
04/27/2022,159.72714285714287,205.14285714285714,128.3057142857143,117.08571428571427
04/26/2022,159.73142857142855,201.23857142857145,131.58857142857144,117.39142857142858
04/25/2022,159.28285714285715,196.03571428571428,134.46571428571428,117.50714285714285
04/22/2022,159.61285714285714,192.04714285714286,137.33714285714285,117.83714285714287
04/21/2022,160.82142857142858,188.75285714285715,140.73714285714286,119.01285714285714
04/20/2022,162.19,188.74571428571429,144.9828571428571,121.00285714285714
04/19/2022,162.72714285714284,190.40000000000003,146.91428571428574,122.64428571428572
04/18/2022,163.94142857142856,195.5171428571429,149.00142857142856,124.55714285714286
04/14/2022,165.1542857142857,199.69285714285712,150.76142857142855,125.71142857142856
04/13/2022,166.22857142857143,203.69285714285712,152.1142857142857,126.68571428571428
04/12/2022,167.06714285714287,207.98285714285717,153.03428571428572,127.83857142857143
04/11/2022,166.97142857142856,212.03857142857143,153.43714285714285,128.41142857142856
04/08/2022,167.38000000000002,215.16857142857143,153.50285714285715,129.16142857142856
04/07/2022,168.05714285714288,215.9742857142857,153.4542857142857,130.00142857142856
04/06/2022,169.02285714285713,217.7642857142857,154.3085714285714,131.26857142857142
04/05/2022,170.41857142857143,220.85857142857145,156.07285714285715,133.24857142857144
04/04/2022,171.56714285714287,223.55857142857144,157.90285714285713,135.11714285714285
04/01/2022,172.51714285714283,225.0885714285714,159.72714285714284,136.8942857142857
03/31/2022,173.78285714285715,225.93142857142857,161.42428571428573,138.35857142857142
03/30/2022,174.88000000000002,226.72,163.1157142857143,139.59428571428572
03/29/2022,175.8542857142857,227.70714285714286,164.76285714285714,140.54
03/28/2022,176.39285714285714,227.74857142857144,166.2242857142857,141.24142857142857
03/25/2022,176.34428571428572,226.31714285714287,166.32571428571433,141.3957142857143
03/24/2022,175.72,224.27142857142857,165.65428571428575,141.19571428571427
03/23/2022,175.1342857142857,222.64428571428576,165.63285714285715,140.92857142857142
03/22/2022,174.30714285714285,221.82857142857142,165.90285714285713,141.04285714285714
03/21/2022,172.53714285714287,219.49142857142857,165.21571428571428,140.20857142857145
03/18/2022,170.39714285714285,217.58142857142857,164.06428571428572,139.29714285714286
03/17/2022,168.25714285714284,215.3314285714286,162.3857142857143,138.20857142857142
03/16/2022,166.0957142857143,212.73285714285717,160.71857142857144,137.01
03/15/2022,163.3842857142857,208.79857142857142,158.39285714285714,135.24285714285716
03/14/2022,160.58571428571426,204.9657142857143,155.31285714285715,133.48142857142858
03/11/2022,158.57285714285715,200.81714285714287,152.5457142857143,132.05285714285714
03/10/2022,157.59285714285716,198.49142857142857,150.45000000000002,131.52857142857144
03/09/2022,157.44571428571427,195.92142857142858,147.3114285714286,131.14142857142855
03/08/2022,156.99142857142857,193.41428571428574,144.27857142857144,130.17857142857142
03/07/2022,156.95000000000002,191.1057142857143,142.04285714285714,129.19285714285715
03/04/2022,158.1042857142857,192.25285714285715,141.79571428571427,129.57999999999998
03/03/2022,160.3342857142857,194.58714285714285,142.66,130.71571428571428
03/02/2022,162.02428571428572,197.5157142857143,143.59285714285713,131.38714285714286
03/01/2022,162.69285714285712,198.69857142857146,144.20999999999998,131.61999999999998
02/28/2022,163.00285714285715,200.48857142857145,146.25,131.8542857142857
02/25/2022,164.0614285714286,203.37285714285716,148.79,132.90571428571428
02/24/2022,164.55285714285716,206.24857142857144,150.77714285714288,133.80714285714285
02/23/2022,164.10999999999999,206.01857142857145,150.6614285714286,133.19
02/22/2022,163.83714285714285,205.89142857142858,150.99,132.6057142857143
02/18/2022,163.94285714285712,205.61285714285714,151.06857142857143,132.01000000000002
02/17/2022,164.75428571428571,206.21571428571428,151.57,131.79285714285714
02/16/2022,165.81571428571428,207.00285714285715,152.21857142857144,132.1757142857143
02/15/2022,166.95000000000002,208.50571428571428,152.60714285714286,132.48285714285714
02/14/2022,167.82714285714286,209.9485714285714,153.15142857142857,132.88857142857142
02/11/2022,169.05142857142854,212.96285714285713,154.35999999999999,133.84428571428572
02/10/2022,170.1657142857143,216.6757142857143,155.61714285714285,135.10285714285715
02/09/2022,171.4485714285714,220.36714285714285,156.8442857142857,136.70142857142858
02/08/2022,172.29857142857145,222.14857142857142,157.81,137.68142857142857
02/07/2022,172.17142857142855,223.3442857142857,157.78714285714287,137.89000000000001
02/04/2022,172.1142857142857,225.64285714285714,157.9485714285714,138.84428571428572
02/03/2022,172.68857142857146,228.50857142857146,155.61714285714285,139.92428571428573
02/02/2022,173.71714285714285,243.28714285714287,155.23428571428573,141.8842857142857
02/01/2022,174.07285714285715,256.27714285714285,154.1185714285714,141.7442857142857
01/31/2022,173.85857142857145,267.8857142857143,152.45857142857145,140.8457142857143
01/28/2022,173.21571428571428,279.53285714285715,149.96857142857144,139.98142857142855
01/27/2022,171.43857142857146,289.4942857142857,147.3542857142857,138.5242857142857
01/26/2022,169.6242857142857,297.7142857142857,144.67285714285714,136.5157142857143
01/25/2022,167.75,306.6271428571428,144.83571428571426,134.20857142857145
01/24/2022,165.71857142857144,304.5857142857143,143.96857142857144,131.75142857142856
01/21/2022,163.97571428571428,302.32428571428574,142.74714285714285,130.71
01/20/2022,162.50857142857143,302.79571428571427,143.04714285714286,130.4257142857143
01/19/2022,161.92285714285714,305.34999999999997,144.80714285714285,130.67857142857142
01/18/2022,163.43428571428572,308.7085714285714,147.5614285714286,131.67857142857142
01/14/2022,165.3457142857143,314.0328571428571,150.8857142857143,133.14285714285714
01/13/2022,167.1185714285714,317.7942857142857,153.91714285714286,134.80714285714285
01/12/2022,169.1057142857143,321.3014285714285,156.87000000000003,136.32571428571427
01/11/2022,170.91571428571427,325.75857142857143,160.1157142857143,137.66714285714286
01/10/2022,172.01285714285714,327.4028571428571,161.51857142857145,138.43285714285713
01/07/2022,172.86142857142858,329.1457142857143,162.4114285714286,138.70428571428573
01/06/2022,173.1757142857143,331.19,163.03,138.95428571428573
01/05/2022,173.44,330.0857142857143,163.34714285714287,138.71142857142857
01/04/2022,174.51285714285714,331.5214285714286,164.24857142857144,139.54142857142855
01/03/2022,175.4385714285714,332.2757142857143,164.99,140.05
